,_id,ask_hedge,ask_lead,bid_hedge,bid_lead,cancelTime,cancel_order,className,datetime,delta,deltaUSD,direction,edge_ask,edge_bid,exchange,frontID,gatewayName,inited,mm_cancel,mm_threshold,offset,on_order,on_timer,on_trade,orderID,orderTime,order_type,p1,p2,pos_hedge,pos_lead,price,qty_hedge,qty_lead,rawData,send_order,sessionID,skew,status,stop,symbol,symbol_hedge,symbol_lead,target_ask,target_bid,totalVolume,tradeID,tradeTime,tradedVolume,trading,volume,vtOrderID,vtSymbol,vtTradeID,vt_order_id,vt_symbol
1638,59686a4cf6daaa248c040892,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:00.831,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1639,59686a4df6daaa248c040896,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:01.838,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1640,59686a4ef6daaa248c04089a,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:02.854,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1641,59686a4ff6daaa248c04089c,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:03.850,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1642,59686a50f6daaa248c04089f,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:04.825,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1643,59686a51f6daaa248c0408a2,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:05.831,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1644,59686a52f6daaa248c0408a4,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:06.822,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1645,59686a53f6daaa248c0408a5,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:07.823,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1646,59686a54f6daaa248c0408a8,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:08.831,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1647,59686a55f6daaa248c0408ac,47120.0,2.6685,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:53:09.826,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
